Title,Authors,Publication Title,Year,Abstract,DOI,Link,Keywords,Citation Count,read,repeated,ACM,SCOPUS,SPRINGER,WOS
Benchmarking Safety Monitors for Image Classifiers with Machine Learning,R. S. Ferreira; J. Arlat; J. Guiochet; H. Waeselynck,2021 IEEE 26th Pacific Rim International Symposium on Dependable Computing (PRDC),2021,"High-accurate machine learning (ML) image classifiers cannot guarantee that they will not fail at operation. Thus, their deployment in safety-critical applications such as autonomous vehicles is still an open issue. The use of fault tolerance mechanisms such as safety monitors is a promising direction to keep the system in a safe state despite errors of the ML classifier. As the prediction from the ML is the core information directly impacting safety, many works are focusing on monitoring the ML model itself. Checking the efficiency of such monitors in the context of safety-critical applications is thus a significant challenge. Therefore, this paper aims at establishing a baseline framework for benchmarking monitors for ML image classifiers. Furthermore, we propose a framework covering the entire pipeline, from data generation to evaluation. Our approach measures monitor performance with a broader set of metrics than usually proposed in the literature. Moreover, we benchmark three different monitor approaches in 79 benchmark datasets containing five categories of out-of-distribution data for image classifiers: class novelty, noise, anomalies, distributional shifts, and adversarial attacks. Our results indicate that these monitors are no more accurate than a random monitor. We also release the code of all experiments for reproducibility.",10.1109/PRDC53464.2021.00012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9667679,machine learning;safety monitoring;benchmark;image classifier;experimental results,18.0,,removed,no,no,no,yes
Benchmarking Scalable Predictive Uncertainty in Text Classification,J. Van Landeghem; M. Blaschko; B. Anckaert; M. -F. Moens,IEEE Access,2022,"This paper explores the question of how predictive uncertainty methods perform in practice in Natural Language Processing, specifically multi-class and multi-label text classification. We conduct benchmarking experiments with 1-D convolutional neural networks and pre-trained transformers on six real-world text classification datasets in which we empirically investigate why popular scalable uncertainty estimation strategies (Monte-Carlo Dropout, Deep Ensemble) and notable extensions (Heteroscedastic, Concrete Dropout) underestimate uncertainty. We motivate that uncertainty estimation benefits from combining posterior approximation procedures, linking it to recent research on how ensembles and variational Bayesian methods navigate the loss landscape. We find that our proposed method combination of Deep Ensemble with Concrete Dropout, by analysis of in- domain calibration, cross-domain classification, and novel class robustness, demonstrates superior performance, even at a smaller ensemble size. Our results corroborate the importance of fine-tuning dropout rate to the text classification task at hand, which individually and as an ensemble impacts model robustness. We observe in ablation that pre-trained transformers severely underperform in novelty detection, limiting the applicability of transfer learning when distribution shift from novel classes can be expected.",10.1109/ACCESS.2022.3168734,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761166,Bayesian deep learning;natural language processing;text classification;out-of-distribution detection;cross-domain classification,5.0,,removed,no,no,no,no
BeTAIL: Behavior Transformer Adversarial Imitation Learning From Human Racing Gameplay,C. Weaver; C. Tang; C. Hao; K. Kawamoto; M. Tomizuka; W. Zhan,IEEE Robotics and Automation Letters,2024,"Autonomous racing poses a significant challenge for control, requiring planning minimum-time trajectories under uncertain dynamics and controlling vehicles at their handling limits. Current methods requiring hand-designed physical models or reward functions specific to each car or track. In contrast, imitation learning uses only expert demonstrations to learn a control policy. Imitated policies must model complex environment dynamics and human decision-making. Sequence modeling is highly effective in capturing intricate patterns of motion sequences but struggles to adapt to new environments or distribution shifts that are common in real-world robotics tasks. In contrast, Adversarial Imitation Learning (AIL) can mitigate this effect, but struggles with sample inefficiency and handling complex motion patterns. Thus, we propose BeTAIL: Behavior Transformer Adversarial Imitation Learning, which combines a Behavior Transformer (BeT) policy from human demonstrations with online AIL. BeTAIL adds an AIL residual policy to the BeT policy to model the sequential decision-making process of human experts and correct for out-of-distribution states or shifts in environment dynamics. We test BeTAIL on three challenges with expert-level demonstrations of real human gameplay in the high-fidelity racing game Gran Turismo Sport. Our proposed BeTAIL reduces environment interactions and improves racing performance and stability, even when the BeT is pretrained on different tracks than downstream learning.",10.1109/LRA.2024.3416789,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10564200,Deep learning methods;imitation learning;reinforcement learning,3.0,,removed,no,no,no,yes
Better Modeling Out-of-Distribution Regression on Distributed Acoustic Sensor Data Using Anchored Hidden State Mixup,H. A. Arief; P. J. Thomas; T. Wiktorski,IEEE Transactions on Industrial Informatics,2023,"Generalizing the application of machine learning models to situations where the statistical distribution of training and test data are different has been a complex problem. Our contributions in this article are threefold: 1) we introduce an anchored-based out-of-distribution (OOD) Regression Mixup algorithm, leveraging manifold hidden state mixup and observation similarities to form a novel regularization penalty; 2) we provide a first of its kind high-resolution distributed acoustic sensor dataset that is suitable for testing OOD regression modeling, allowing other researchers to benchmark progress in this area; and 3) we demonstrate with an extensive evaluation the generalization performance of the proposed method against existing approaches and then show that our method achieves state-of-the-art performance. We also demonstrate a wider applicability of the proposed method by exhibiting improved generalization performances on other types of regression datasets, including Udacity and Rotation-MNIST datasets.",10.1109/TII.2022.3154783,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9722972,Distributed acoustic sensor (DAS);distributed acoustic sensor dataset;out-of-distribution (OOD) regression;regression mixup,9.0,,removed,no,no,no,no
Beyond Supervised Power Control in Massive MIMO Network: Simple Deep Neural Network Solutions,Z. Zhang; M. Hua; C. Li; Y. Huang; L. Yang,IEEE Transactions on Vehicular Technology,2022,"Power control in massive multiple input multiple output (MIMO) systems is an appealing technique to improve network performance and reliability. The traditional methods to solve such problems are based on the convex optimization theory, which incurs high computational complexity. In contrast, this work leverages deep neural networks to maximize the minimum data rate of the downlink users in the massive MIMO network. Based on the different setups in the practical systems, namely in-distribution case, weakly out-of-distribution case, and out-of-distribution case, we propose three approaches to solve them. Specifically, first, we establish a densely connected neural network for solving the power control problem. Then, for the case where the test data and training data come from the same distributions (the in-distribution case), we use the established neural network to obtain an approximately optimal power control strategy, and propose a self-training-based algorithm to use the unlabeled samples collected in the actual system to further improve the system performance. For the case that the test data and training data come from different distributions and a small amount of labeled target domain data can be obtained (the weakly out-of-distribution case), we propose a pre-training and fine-tuning algorithm to solve the problem. For the issue that we can not obtain the labels of the target domain data (the out-of-distribution case), we transform the problem into a covariate shift problem and propose an algorithm by weighting the loss function. Numerical results demonstrate that the proposed schemes not only match the optimal solution well but also have low online inference complexity.",10.1109/TVT.2022.3146434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9695267,Power control;massive MIMO;deep neural network;out-of-distribution,2.0,,removed,no,no,no,yes
Beyond the Distribution: Perturbation Toward Domain Distribution Boundary for Strengthening Generalizable Semi-Supervised Segmentation,S. Li; J. Zhao; Y. Hao; C. Zhang; Z. Song,IEEE Signal Processing Letters,2025,"The generalization capability of models during inference in medical imaging, especially across data from different centers, is crucial, particularly in the context of limited data availability. Semi-supervised domain generalization learning has explored the use of unlabeled data to help the model generalize to unseen domains. However, existing methods primarily focus on decoupling and fusing information within the source distribution, resulting in limited improvement to the generalization ability. In contrast, we extend the exploration beyond source distributions and propose domain distribution boundary perturbation consistency learning for semi-supervised domain generalization in segmentation. We first use normalizing flows to map features to a mixture of Gaussian distributions, enabling the model to capture complex and diverse feature distributions across domains. Then, we perturb the features towards the domain boundaries and apply consistency regularization to maintain the quality of pseudo-labels while encouraging exploration of out-of-distribution features. This exploration aids the model’s adaptation to unseen domains and enhances generalization. Our method is simple and effective, outperforming existing state-of-the-art approaches on three public benchmark datasets and achieving optimal generalization performance.",10.1109/LSP.2025.3601998,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11134572,Semi-supervised domain generalization;mixed Gaussian distribution;boundary perturbation,,yes,moved,no,no,no,no
Bilateral Proxy Federated Domain Generalization for Privacy-Preserving Medical Image Diagnosis,H. Lai; Y. Luo; B. Li; J. Lu; J. Yuan,IEEE Journal of Biomedical and Health Informatics,2025,"Contemporary domain generalization methods have demonstrated effectiveness in aiding the generalized diagnosis of medical images with multi-source data by joint optimization. However, the centralized training paradigm employed by these approaches becomes infeasible when data are non-shared across domains due to the high privacy of medical data. Despite attempts by existing federated domain generalization methods to address this issue, the simultaneous attainment of strict privacy protection and a satisfactory level of generalization ability on out-of-distribution data remains a persistent challenge. In this paper, to tackle this challenging problem, we propose a novel approach called the Bilateral Proxy Framework (BPF). The BPF leverages the client-side proxies to facilitate the strict privacy-preserving communications with the server and ensure smoother and more stable convergences of local models through mutual distillation. Meanwhile, the server-side proxy adopts a distance-based strategy and a parameter moving average scheme, which enhances the stability and robustness of the global model, particularly by averting abrupt parameter changes that could result in fluctuations or overfitting. Through these advancements, our framework strives to enhance the generalization capability of the global model, enabling more accurate and reliable medical image diagnosis in federated settings. The effectiveness of our method is demonstrated with superior performance over state-of-the-arts on both simulated and real-world distribution medical image diagnosis tasks.",10.1109/JBHI.2024.3456440,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10675516,Domain generalization;federated learning;multi-source data;privacy protection;proxy model;medical image diagnosis,2.0,yes,moved,no,no,no,no
BoosterNet: Improving Domain Generalization of Deep Neural Nets using Culpability-Ranked Features,N. Bayasi; G. Hamarneh; R. Garbi,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,"Deep learning (DL) models trained to minimize empirical risk on a single domain often fail to generalize when applied to other domains. Model failures due to poor generalizability are quite common in practice and may prove quite perilous in mission-critical applications, e.g., diagnostic imaging where real-world data often exhibits pronounced variability. Such limitations have led to increased interest in domain generalization (DG) approaches that improve the ability of models learned from a single or multiple source domains to generalize to out-of-distribution (OOD) test domains. In this work, we propose BoosterNet, a lean add-on network that can be simply appended to any arbitrary core network to improve its generalization capability without requiring any changes in its architecture or training procedure. Specifically, using a novel measure of feature culpability, BoosterNet is trained episodically on the most and least culpable data features extracted from critical units in the core network based on their contribution towards class-specific prediction errors, which have shown to improve generalization. At inference time, corresponding test image features are extracted from the closest class-specific units, determined by smart gating via a Siamese network, and fed to BoosterNet for improved generalization. We evaluate the performance of BoosterNet within two very different classification problems, digits and skin lesions, and demonstrate a marked improvement in model generalization to OOD test domains compared to SOTA.",10.1109/CVPR52688.2022.00062,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879506,Deep learning architectures and techniques; Efficient learning and inferences,6.0,yes,moved,no,no,no,no
Brave the Wind and the Waves: Discovering Robust and Generalizable Graph Lottery Tickets,K. Wang; Y. Liang; X. Li; G. Li; B. Ghanem; R. Zimmermann; Z. Zhou; H. Yi; Y. Zhang; Y. Wang,IEEE Transactions on Pattern Analysis and Machine Intelligence,2024,"The training and inference of Graph Neural Networks (GNNs) are costly when scaling up to large-scale graphs. Graph Lottery Ticket (GLT) has presented the first attempt to accelerate GNN inference on large-scale graphs by jointly pruning the graph structure and the model weights. Though promising, GLT encounters robustness and generalization issues when deployed in real-world scenarios, which are also long-standing and critical problems in deep learning ideology. In real-world scenarios, the distribution of unseen test data is typically diverse. We attribute the failures on out-of-distribution (OOD) data to the incapability of discerning causal patterns, which remain stable amidst distribution shifts. In traditional spase graph learning, the model performance deteriorates dramatically as the graph/network sparsity exceeds a certain high level. Worse still, the pruned GNNs are hard to generalize to unseen graph data due to limited training set at hand. To tackle these issues, we propose the Resilient Graph Lottery Ticket (RGLT) to find more robust and generalizable GLT in GNNs. Concretely, we reactivate a fraction of weights/edges by instantaneous gradient information at each pruning point. After sufficient pruning, we conduct environmental interventions to extrapolate potential test distribution. Finally, we perform last several rounds of model averages to further improve generalization. We provide multiple examples and theoretical analyses that underpin the universality and reliability of our proposal. Further, RGLT has been experimentally verified across various independent identically distributed (IID) and out-of-distribution (OOD) graph benchmarks.",10.1109/TPAMI.2023.3342184,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356750,Deep learning;graph convolutional network;lottery ticket hypothesis;node classification;out-of-distribution generalization,8.0,,removed,no,no,no,yes
Calibrated OOD Classification for Packet Streams: A Deep Learning Approach,M. W. Khan; S. Ayub,"2025 4th International Conference on Communication, Computing and Digital Systems (C-CODE)",2025,"Out-of-Distribution (OOD) detection in network traffic is essential for ensuring the reliability and security of modern communication systems. This paper proposes a practical framework for OOD classification in streaming packet data, with an emphasis on video traffic patterns. We evaluate three architectures: a Sequential Convolutional Neural Network (SCNN) trained with a hybrid loss that combines Categorical Cross-Entropy and Kullback-Leibler divergence, a Bidirectional Long Short-Term Memory (BiLSTM) network trained with standard cross-entropy, and a classical One-Class Support Vector Machine (SVM) baseline. Experiments show that the SCNN with hybrid loss achieves the best balance of accuracy (92.5 %), AUROC (0.94), and calibration, outperforming both BiLSTM and SVM while maintaining low inference latency. These results confirm that combining deep sequential modeling with calibration-aware loss leads to more reliable OOD detection. The study also highlights trade-offs between deep learning and classical methods and points to future extensions, including Transformer-based models and adversarial robustness for deployment in real-time network monitoring systems.",10.1109/C-CODE67372.2025.11204105,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11204105,Out of Distribution;Loss Function;SCNN;Network Traffic,,,removed,no,no,no,no
Calibrated Out-of-Distribution Detection with a Generic Representation,T. Vojíř; J. Šochman; R. Aljundi; J. Matas,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),2023,"Out-of-distribution detection is a common issue in deploying vision models in practice and solving it is an essential building block in safety critical applications. Most of the existing OOD detection solutions focus on improving the OOD robustness of a classification model trained exclusively on in-distribution (ID) data. In this work, we take a different approach and propose to leverage generic pre-trained representation. We propose a novel OOD method, called GROOD, that formulates the OOD detection as a Neyman-Pearson task with well calibrated scores and which achieves excellent performance, predicated by the use of a good generic representation. Only a trivial training process is required for adapting GROOD to a particular problem. The method is simple, general, efficient, calibrated and with only a few hyper-parameters. The method achieves state-of-the-art performance on a number of OOD benchmarks, reaching near perfect performance on several of them. The source code is available at https://github.com/vojirt/GROOD.",10.1109/ICCVW60793.2023.00485,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350539,out of distribution;CLIP;anomaly;calibration;generic representation,5.0,yes,moved,no,no,no,no
Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection,B. Pal; M. S. Islam; A. W. -C. Liew,IEEE Transactions on Dependable and Secure Computing,2025,"The rapid proliferation of Internet of Things (IoT) devices has exposed us to a growing threat landscape. Advancements in artificial intelligence (AI), particularly deep learning (DL) techniques, offer innovative solutions for trustworthy IoT attack detection. Despite the resource-constrained nature of IoT devices, most existing AI-based IoT attack detection methods rely on complex deep learning models for automated feature extraction and generalization. However, DL models are inherently overconfident and tend to produce unreliable predictions both in-distribution and under distribution shifts when deployed. The large model size, coupled with deterministic and overconfident predictions, and limited focus on estimating the uncertainty, hinders the trustworthy deployment of DL models in applications where reliability is critical, not just high accuracy. In this paper, we present a framework for confidence calibration and uncertainty estimation of DL models in the context of IoT attack detection. Specifically, we propose a novel framework for the trustworthy design of deep IoT attack detection models, along with a lightweight DL model that achieves state-of-the-art (SoTA) attack detection performance. We demonstrate how both our DL model and other SoTA DL models can be effectively integrated into the proposed framework to ensure trustworthy IoT attack detection. Evaluated on the large-scale benchmark IoT-23 network traffic dataset in terms of calibration, uncertainty, and distribution shift, our approach delivers superior and trustworthy IoT attack detection performance.",10.1109/TDSC.2025.3598350,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11123772,Trustworthy AI;Deep Learning;IoT Security;Uncertainty Quantification;Confidence Calibration;Out-of-Distribution,,,removed,no,no,no,no
Causal Deconfounding for Spurious Correlation in Domain Generalization,B. Qin; Y. Li; J. Li; X. Wu; Y. Wang; J. Cao,2025 IEEE International Conference on Multimedia and Expo (ICME),2025,"Existing machine learning techniques often blindly exploit data correlation, which may result in learning domain-dependent spurious correlation, thereby exacerbating the challenges of model generalization in out-of-distribution (OOD) scenarios. However, the essential definition of spurious correlation lacks causal mechanism analysis, leaving the manner in which they degrade models’ OOD generalization capabilities unclear. To this end, we construct a structural causal model (SCM) for the representation learning process and uncover a key insight: the deficiency of models in OOD generalization stems from confounding bias induced by spurious correlation. This bias misguides the model to rely on domain-sensitive correlation between spurious features and labels. In this regard, we leverage the modeled SCM graph to guide the adjustment of spurious features and implement backdoor adjustment. Then we further propose to control confounding bias by introducing a propensity score weighted estimator, which can be integrated into any existing OOD method as a plug-and-play module. The empirical results comprehensively demonstrate the effectiveness of our method on synthetic and large-scale real OOD datasets.",10.1109/ICME59968.2025.11209213,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209213,Domain Generalization;Out-of-Distribution;Spurious Correlation;Causal Representation Learning,,yes,moved,no,no,no,no
Causal Interventional Prompt Tuning for Few-Shot Out-of-Distribution Generalization,J. Wen; Y. Liu; C. Huang; C. Liu; Y. Xu; X. Cao,IEEE Transactions on Pattern Analysis and Machine Intelligence,2025,"Fine-tuning pre-trained vision-language models (VLMs) has shown substantial benefits in a wide range of downstream tasks, often achieving impressive performance with minimal labeled data. Parameter-efficient fine-tuning techniques, in particular, have demonstrated their effectiveness in enhancing downstream task performance. However, these methods frequently struggle to generalize to out-of-distribution (OOD) data due to their reliance on non-causal representations, which can introduce biases and spurious correlations that negatively impact decision-making. Such spurious factors hinder the model's generalization ability beyond the training distribution. To address these challenges, in this paper, we propose a novel causal intervention-based prompt tuning method to adapt VLMs to few-shot OOD generalization. Specifically, we leverage the front-door adjustment technique from causal inference to mitigate the effects of spurious correlations and enhance the model's focus on causal relationships. Built upon VLMs, our approach begins by decoupling causal and non-causal representations in the vision-language alignment process. The causal representation that captures only essential semantically relevant information can serve as a mediator variable between the input image and output label, mitigating the biases from the latent confounder. To further enrich this causal representation, we propose a novel text-based diversity augmentation technique that uses textual features to provide additional semantic context. This augmentation technique can enhance the diversity of the causal representation, making it more robust and generalizable to various OOD scenarios. Experimental results across multiple OOD datasets demonstrate that our method significantly outperforms existing approaches, achieving state-of-the-art generalization performance.",10.1109/TPAMI.2025.3621250,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11202726,CLIP;Few-shot classification;Causal inference;Out-of-Distribution generalization,,,removed,no,no,no,no
Causal Invariant Hierarchical Molecular Representation for Out-of-distribution Molecular Property Prediction,X. Wen; Y. Guo; S. Wei; W. Long; L. Zhu; R. Zhu,2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2024,"Molecular representation learning is widely used in the field of drug discovery, due to its ability to accurately capture the complex features of compounds in high-dimensional space. However, existing molecular representation learning models are prone to be influenced by spurious parts during distribution shifts (also known as out-of-distribution, or OOD), which results in models mistakenly treating these spurious parts as crucial features of molecules, thereby limiting the generalization capability of the models. To tackle this issue, a novel invariant molecular representation learning model, called Causal Invariant Hierarchical Molecular Representation Graph Neural Networks (CHiMoGNN), is proposed for OOD molecular property prediction. In CHiMoGNN, a Feature Enhancement (FE) module is designed to leverage the multi-level molecular parts to enhance the expression of invariant features, thereby enhancing the model’s capability to capture key molecular information. In addition, a Cartesian Product based Environmental Impact (EI) module is adopted to generate counterfactual samples with environmental diversity. Consequently, these samples are utilized to train a classifier that maintains consistent performance across various environments. Extensive experiments on seven real-world datasets demonstrate that CHiMoGNN outperforms 9 state-of-the-art models, achieving a 5.73% increase in average ROC-AUC, and the results also show that CHiMoGNN can effectively maintain generalization in various distribution shifts. Code and datasets are available at https://github.com/Chertuion/CHiMoGNN.",10.1109/BIBM62325.2024.10822583,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10822583,Molecular invariant representation;Molecular property prediction;Out-of-distribution,,,removed,no,no,no,no
Causal Knowledge in Data Fusion Subject to Latent Confounding and Measurement Error,J. Yu; T. Pychynski; M. F. Huber,2024 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),2024,"Data fusion is the process of integrating data from multiple sources to produce more accurate and reliable information. It is often the case that data are subject to latent confounding and measurement error in real-world scenarios. In this paper, we evaluate fusion strategies based on different levels of contained causal knowledge to solve quality prediction under varied conditions of latent confounding and measurement error. We show that the machine learning-based fusion strategy achieves the best prediction quality when data are independent and identically distributed (i.i.d.). However, in the presence of latent confounding, the causality-based fusion strategy makes prediction models more robust against severe distribution shifts. Moreover, the out-of-distribution (OOD) generalizability of prediction models is also affected by measurement error in the data. If causal knowledge needs to be inferred from data by applying causal discovery methods, we demonstrate that measurement error can adversely impair causal discovery. We advocate that caution needs to be exercised when using standard causal discovery methods if the circumstances under which the data were generated are unknown.",10.1109/MFI62651.2024.10705789,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705789,,1.0,yes,moved,no,no,no,yes
Causality-Guided Context-Aware Multimodal Public Speaking Anxiety Detection for Out-of-Distribution Generalization,T. Zhang; J. Tan; Z. Xiong; B. Wu; C. Zheng,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2025,"Public Speaking Anxiety Detection (PSAD) is a complex and challenging task that involves detecting anxiety through diverse multimodal cues. While deep neural networks have achieved remarkable success in this task, their performance tends to degrade significantly under distribution shifts, especially in Out-Of-Distribution (OOD) scenarios. Given the substantial impact of latent contexts in PSAD, it is crucial to explore how contexts influence OOD generalization. Causality plays a fundamental role in uncovering the relationships between multimodal data and labels. Understanding these causal relationships helps tackle the OOD generalization challenge via causal invariance under context-driven shifts. In this work, we propose a novel Context-Aware Multimodal Adversarial Learning (CAMAL) framework to model and debias complex multimodal contexts in PSAD. A dual adversarial learning strategy jointly optimizes the causal independence between multimodal causal features and contexts. Experimental results on two benchmark datasets demonstrate the superiority of our approach over state-of-the-art baselines under distribution shifts.",10.1109/ICASSP49660.2025.10888426,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10888426,public speaking anxiety detection;out-of-distribution;context-aware;multimodal debiasing,,,removed,no,yes,no,no
CB-RML: Dynamic Regret Minimization via Coin-Betting Regularization and Meta-Learning,S. Dutta; S. Manakkadu; S. R. Thangiah,2025 IEEE International Conference on AI and Data Analytics (ICAD),2025,"We address the challenge of dynamic regret minimization in non-stationary environments, where traditional online learning algorithms struggle to adapt to shifting data distributions. Existing approaches typically require prior knowledge of environmental dynamics or careful parameter tuning, limiting their practical utility. This paper introduces the Coin-Betting Regularized Meta-Learner (CB-RML), a novel framework that achieves parameter-free adaptation while maintaining provable regret guarantees. Our key contributions are threefold: (1) a three-timescale adaptation mechanism combining per-iteration learning rate updates $(\eta_{t+1}^{(k)}=\eta_{0} / \sqrt{1+\sum\Vert\theta_{s}^{(k)}-\theta_{s-1}^{(k)}\Vert^{2}})$, partition-based restarts, and meta-regularization through $S_{t}=$ $\sum\left\Vert g_{t}\right\Vert^{2}$; (2) a parameter-free design requiring only $\eta_{0}>0$ and $\beta>0$, eliminating the need for knowledge of $V_{T}, G$, or shift counts; and (3) an automatic drift detection mechanism via $\left\Vert g_{t}-g_{t-1}\right\Vert >\gamma \sqrt{\log t /\left|I_{k}\right|}$, enabling adaptation to both gradual and abrupt concept shifts. Theoretical analysis demonstrates that CB-RML achieves dynamic regret bounded by $\mathcal{O}\left(\sqrt{T\left(1+V_{T}\right)}\right)$, where $V_{T}$ quantifies environmental variation, while maintaining computational efficiency. Experimental results across synthetic and real-world benchmarks validate our theoretical claims, showing superior performance compared to state-of-the-art baselines in scenarios with unanticipated distribution shifts. The framework's combination of theoretical rigor and practical applicability advances the frontier of robust online learning in dynamic environments.",10.1109/ICAD65464.2025.11114058,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114058,dynamic regret;online learning;non-stationary optimization;regret minimization;adaptive algorithms,,,removed,no,no,no,no
CL-FML: Cluster-Based & Label-Aware Federated Meta-Learning for On-Demand Classification Tasks,T. Aladwani; C. Anagnostopoulos; S. P. Parambath; F. Deligianni,2024 IEEE 11th International Conference on Data Science and Advanced Analytics (DSAA),2024,"Distributed analytics involving classification tasks demand robust model training. Real-time arbitrary classification tasks on distributed clients pose challenges due to constraints in data sharing. Federated (Meta)-Learning (FML) has been introduced for global distributed (meta)-model training, which generalizes well over distributed data and classification tasks. Current FML approaches assume fixed labels over unskewed class proportions and data distributions along with uniform task distributions. However, global meta-models can only be used for tasks that do not require addressing arbitrary out-of- distribution label issues. In real-world cases, class imbalance and label shifting are common issues in clients' data. On-demand tasks arriving at clients involve unseen labels. Therefore, 'one (meta)-model-fits-all‘ is not the best option. To address these challenges, we introduce multiple cluster-based meta-models, each one tailored to specific label distribution. Our framework, coined Cluster-based & Label-aware Federated Meta-Learning (CL-FML), involves distributed client clustering based on label shifting and cluster-based FML identifying the most suitable clients to engage per task. CL-FML leverages lightweight data augmentation to deal with arbitrary class-imbalanced tasks. Our comprehensive experiments and comparative assessment against baselines showcase that CL-FML efficiently achieves high accuracy by fast convergence, significantly reducing training rounds and communication load.",10.1109/DSAA61799.2024.10722828,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10722828,Federated Learning;Federated Meta-learning;Label shifting;Distributed clustering,,yes,moved,no,no,no,no
Class-wise Thresholding for Robust Out-of-Distribution Detection,M. Guarrera; B. Jin; T. -W. Lin; M. A. Zuluaga; Y. Chen; A. Sangiovanni-Vincentelli,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2022,"We consider the problem of detecting Out-of-Distribution (OoD) input data when using deep neural networks, and we propose a simple yet effective way to improve the robustness of several popular OoD detection methods against label shift. Our work is motivated by the observation that most existing OoD detection algorithms consider all training/test data as a whole, regardless of which class entry each input activates (inter-class differences). Through extensive experimentation, we have found that such practice leads to a detector whose performance is sensitive and vulnerable to label shift. To address this issue, we propose a class-wise thresholding scheme that can apply to most existing OoD detection algorithms and can maintain similar OoD detection performance even in the presence of label shift in the test distribution.",10.1109/CVPRW56347.2022.00321,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857153,,4.0,yes,moved,no,no,no,yes
CLIP-driven Coarse-to-fine Semantic Guidance for Fine-grained Open-set Semi-supervised Learning,X. Li; Y. Huang; Q. Guan,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2025,"Fine-grained open-set semi-supervised learning (OSSL) investigates a practical scenario where unlabeled data may contain fine-grained out-of-distribution (OOD) samples. Due to the subtle visual differences among in-distribution (ID) samples, as well as between ID and OOD samples, it is extremely challenging to separate the ID and OOD samples. Recent Vision-Language Models, such as CLIP, have shown excellent generalization capabilities. However, it tends to focus on general attributes, and thus is insufficient to distinguish the fine-grained details. To tackle the issues, in this paper, we propose a novel CLIP-driven coarse-to-fine semantic-guided framework, named CFSG-CLIP, to progressively focus on the distinctive fine-grained clues. Specifically, CFSG-CLIP comprises a coarse-guidance branch and a fine-guidance branch derived from the pre-trained CLIP model. In the coarse-guidance branch, we design a semantic filtering module to initially filter and highlight local visual features guided by cross-modality features. Then, in the fine-guidance branch, we further design a visual-semantic injection strategy, which embeds category-related visual cues into the visual encoder to further refine the local visual features. By the designed dual-guidance framework, local subtle cues are progressively discovered to distinct the subtle difference between ID and OOD samples. Extensive experiments demonstrate that CFSG-CLIP achieves competitive performance on multiple fine-grained datasets. The source code is available at https://github.com/LxxxxK/CFSG-CLIP.",10.1109/CVPR52734.2025.02822,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11092558,open-set;semi-supervised learning;fine-grained;ood detection,,,removed,no,yes,no,no
