Keywords,Abstract,DOI,Link,Year,Title,Authors,Read,Type,Publication Title,Citation Count,Repeated,SCOPUS,IEEE,SPRINGER,WOS,,
"Collaborative Filtering, Debiasing, Popularity Distribution Shift","Collaborative Filtering (CF) models, despite their great success, suffer from severe performance drops due to popularity distribution shifts, where these changes are ubiquitous and inevitable in real-world scenarios. Unfortunately, most leading popularity debiasing strategies, rather than tackling the vulnerability of CF models to varying popularity distributions, require prior knowledge of the test distribution to identify the degree of bias and further learn the popularity-entangled representations to mitigate the bias. Consequently, these models result in significant performance benefits in the target test set, while dramatically deviating the recommendation from users’ true interests without knowing the popularity distribution in advance. In this work, we propose a novel learning framework, Invariant Collaborative Filtering (InvCF), to discover disentangled representations that faithfully reveal the latent preference and popularity semantics without making any assumption about the popularity distribution. At its core is the distillation of unbiased preference representations (i.e., user preference on item property), which are invariant to the change of popularity semantics, while filtering out the popularity feature that is unstable or outdated. Extensive experiments on five benchmark datasets and four evaluation settings (i.e., synthetic long-tail, unbiased, temporal split, and out-of-distribution evaluations) demonstrate that InvCF outperforms the state-of-the-art baselines in terms of popularity generalization ability on real recommendations. Visualization studies shed light on the advantages of InvCF for disentangled representation learning. Our codes are available at https://github.com/anzhang314/InvCF.",10.1145/3543507.3583461,https://doi.org/10.1145/3543507.3583461,2023,Invariant Collaborative Filtering to Popularity Distribution Shift,"Zhang, An and Zheng, Jingnan and Wang, Xiang and Yuan, Yancheng and Chua, Tat-Seng",,inproceedings,,,removed,no,no,no,no,,
"distribution shift, node representation learning, Graph neural networks","Node representation learning methods, such as graph neural networks, show promising results when testing and training graph data come from the same distribution. However, the existing approaches fail to generalize under distribution shifts when the nodes reside in multiple latent environments. How to learn invariant node representations to handle distribution shifts with multiple latent environments remains unexplored. In this article, we propose a novel Invariant Node representation Learning (INL) approach capable of generating invariant node representations based on the invariant patterns under distribution shifts with multiple latent environments by leveraging the invariance principle. Specifically, we define invariant and variant patterns as ego-subgraphs of each node and identify the invariant ego-subgraphs through jointly accounting for node features and graph structures. To infer the latent environments of nodes, we propose a contrastive modularity-based graph clustering method based on the variant patterns. We further propose an invariant learning module to learn node representations that can generalize to distribution shifts. We theoretically show that our proposed method can achieve guaranteed performance under distribution shifts. Extensive experiments on both synthetic and real-world node classification benchmarks demonstrate that our method greatly outperforms state-of-the-art baselines under distribution shifts.",10.1145/3604427,https://doi.org/10.1145/3604427,2023,Invariant Node Representation Learning under Distribution Shifts with Multiple Latent Environments,"Li, Haoyang and Zhang, Ziwei and Wang, Xin and Zhu, Wenwu",,article,ACM Trans. Inf. Syst.,,removed,no,no,no,no,,
"Recommender systems, Popularity distribution shift, Invariant representation learning, Contrastive learning","Recommender systems often suffer from severe performance drops due to popularity distribution shift (PDS), which arises from inconsistencies in item popularity between training and test data. Most existing methods aimed at mitigating PDS focus on reducing popularity bias, but they usually require inaccessible information or rely on implausible assumptions. To solve the above problem, in this work, we propose a novel framework called Invariant Representation Learning (IRL) to PDS. Specifically, for simulating diverse popularity environments where popular items and active users become even more popular and active, or conversely, we apply perturbations to the user-item interaction matrix by adjusting the weights of popular items and active users in the matrix, without any prior assumptions or specialized information. In different simulated popularity environments, dissimilarities in the distribution of representations for items and users occur. We further utilize contrastive learning to minimize the dissimilarities among the representations of users and items under different simulated popularity environments, resulting in invariant representations that remain consistent across varying popularity distributions. Extensive experiments on three real-world datasets demonstrate that IRL outperforms state-of-the-art baselines in effectively alleviating PDS for recommendation.",10.1007/s11280-024-01242-x,https://doi.org/10.1007/s11280-024-01242-x,2024,Invariant representation learning to popularity distribution shift for recommendation,"He, Ming and Zhang, Han and Zhang, Zihao and Liu, Chang",,article,World Wide Web,,removed,no,no,no,no,,
"bidirectional, distribution matching, label shift","Due to the timeliness and uncertainty of data acquisition, label shift, which assumes that the source (training) and target (test) label distributions differ, occurs with the changing environment and reduces the generalization ability of traditional models. To correct the label shift, existing methods estimate the true label distribution by prediction of target data from a source classifier, which results in high variance, especially with large label shift. In this paper, we tackle this problem by proposing a novel approach termed as Label Shift Correction via Bidirectional Marginal Distribution Matching (BMDM). Our approach matchs the label and feature marginal distributions simultaneously to ensure the stability of estimated class proportions. We prove theoretically that there is a unique optimal solution, i.e., true target label distribution, for our approach under mild conditions, and an efficient optimization strategy is also proposed. On this basis, in multi-shot scenario where label distribution changes continuously, we extend BMDM by designing a new distribution matching mechanism and constructing a regularization term that constrains the direction of label distribution change. Extensive experimental results validate the effectiveness of our approach over existing state-of-the-arts methods.",10.1145/3637528.3671867,https://doi.org/10.1145/3637528.3671867,2024,Label Shift Correction via Bidirectional Marginal Distribution Matching,"Fan, Ruidong and Ouyang, Xiao and Tao, Hong and Hou, Chenping",,inproceedings,,,removed,no,no,no,no,,
"distribution shifts, graph representation learning, heterophily and homophily, invariant learning, node classification","Heterophilic Graph Neural Networks (HGNNs) have shown promising results for semi-supervised learning tasks on graphs. Notably, most real-world heterophilic graphs are composed of a mixture of nodes with different neighbor patterns, exhibiting local node-level homophilic and heterophilic structures. However, existing works are only devoted to designing better unified HGNN backbones for node classification tasks on heterophilic and homophilic graphs simultaneously, and their analyses of HGNN performance concerning nodes are only based on the determined data distribution without exploring the effect caused by the difference of structural pattern between training and testing nodes. How to learn invariant node representations on heterophilic graphs to handle this structure difference or distribution shifts remains unexplored. In this paper, we first discuss the limitations of previous graph-based invariant learning methods in addressing the heterophilic graph structure distribution shifts from the perspective of data augmentation. Then, we propose HEI, a framework capable of generating invariant node representations through incorporating Heterophily information, the node's estimated neighbor pattern, to infer latent Environments without augmentation, which are then used for Invariant prediction. We provide detailed theoretical guarantees to clarify the reasonability of HEI. Extensive experiments on various benchmarks and backbones can also demonstrate the effectiveness and robustness of our method compared with existing state-of-the-art baselines.",10.1145/3696410.3714749,https://doi.org/10.1145/3696410.3714749,2025,Leveraging Invariant Principle for Heterophilic Graph Structure Distribution Shifts,"Yang, Jinluan and Chen, Zhengyu and Xiao, Teng and Lin, Yong and Zhang, Wenqiao and Kuang, Kun",,inproceedings,,,removed,no,no,no,no,,
"Anomaly detection, Distribution drift, Domain generalization, Meta learning, 0000, 1111",,10.1016/j.neucom.2023.126483,https://doi.org/10.1016/j.neucom.2023.126483,2023,MDGAD: Meta domain generalization for distribution drift in anomaly detection,"Zhao, Sinong and Yu, Zhaoyang and Marbach, Trent G. and Wang, Gang and Yin, Airu and Zhou, Yatao and Liu, Xiaoguang",,article,Neurocomput.,,removed,NO,NO,no,NO,,
"Time series forecasting, Temporal distribution shifts, Koopman theory",,10.1016/j.aei.2024.102840,https://doi.org/10.1016/j.aei.2024.102840,2024,Meta Koopman decomposition for time series forecasting under temporal distribution shifts,"Zhang, Yudong and Wang, Xu and Sun, Zhaoyang and Wang, Pengkun and Wang, Binwu and Li, Limin and Wang, Yang",,article,Adv. Eng. Inform.,,removed,no,no,no,no,???,
"Cyber-Physical Systems, Distribution Shift, Learning-Enabled","With the known vulnerability of neural networks to distribution shift, maintaining reliability in learning-enabled cyber-physical systems poses a salient challenge. In response, many existing methods adopt a detect and abstain methodology, aiming to detect distribution shift at inference time so that the learning-enabled component can abstain from decision-making. This approach, however, has limited use in real-world applications. We instead propose a monitor and recover paradigm as a promising direction for future research. This philosophy emphasizes 1) robust safety monitoring instead of distribution shift detection and 2) distribution shift recovery instead of abstention. We discuss two examples from our recent work.",10.1145/3716550.3725160,https://doi.org/10.1145/3716550.3725160,2025,Monitor and Recover: A Paradigm for Future Research on Distribution Shift in Learning-Enabled Cyber-Physical Systems,"Lin, Vivian and Lee, Insup",,inproceedings,,,removed,no,no,no,no,,
"Test-Time Adaptation, Distribution Shift, Robustness","Although the test-time adaptation (TTA) learning paradigm can against distribution shift, it also results in severe performance degradation on in-distribution (ID) data after adaptation, a phenomenon known as catastrophic forgetting. In this paper, we highlight that the fundamental reason for catastrophic forgetting is that vanilla TTA methods finetune the model without considering the type of input samples. Our key insight is that the model only needs to be finetuned when the input data is from the out-of-distribution (OOD) domain. Motivated by this insight, we proposed a novel and surprisingly effective anti-forgetting test-time adaptation method to address the catastrophic forgetting problem. Specifically, our contributions are two-fold: 1) We propose a novel non-parametric perturbation layer to synthesize OOD data for any input samples, which can enhance model robustness by injecting the synthesized OOD data into the training set and provide supervision signal for OOD detector. 2) We further propose a novel features statistics mean discrepancy metric, which can reliably distinguish the OOD and ID data and finetune model parameters according to the type of input data. Extensive experiments on medical image classification and segmentation tasks demonstrated that our method can address the catastrophic forgetting problem and achieve the SOTA performance.",10.1007/978-3-032-06004-4_19,https://doi.org/10.1007/978-3-032-06004-4_19,2025,Anti-forgetting Test-Time Adaptation for&nbsp;Robust Medical Image Analysis Under Distribution Shift,"Wu, Zhenyu and Chen, Shiyu and Li, Zichao and Huang, Junkai and Chen, Kang and Qiao, Zhen and Li, Ming and Shi, Tengfei and Wang, Xuehao",yes,inproceedings,,,moved,NO,NO,no,NO,,
"neural networks, histogram, distribution shift detection","It is required to detect distribution shift in order to prevent a machine learning model from performance degradation, and human-mediated data analysis from erroneous conclusions. For the purpose of comparing between unknown distributions of high-dimensional data, histograms are suitable density estimators due to its computational efficiency. It is important for histograms for distribution shift detection to have uniform density, which has been demonstrated in existing tree-based or cluster-based histograms. However, existing histograms do not consider generalization capability to out-of-sample data, resulting in degraded detection performance at test time. In this paper, we propose a neural-based histogram for distribution shift detection, which generalizes well to out-of-sample data. The bins of histogram are determined by a model trained to discriminate between a handful reference instances, which reflects their underlying distribution. Due to the batch-wise maximum entropy regularizer calculated from a bootstrap sample, the bins as a subset of the feature space partitioned by the decision boundaries of the model generalize, and thus the histogram keeps its density uniform for out-of-sample data. We evaluate our method on distribution shift detection task using multi-domain real-world datasets. The results show that our method outperforms state-of-the-art histogram-based methods.",10.1145/3564121.3564136,https://doi.org/10.1145/3564121.3564136,2023,RIDEN: Neural-based Uniform Density Histogram for Distribution Shift Detection,"Yonekawa, Kei and Saito, Kazuhiro and Kurokawa, Mori",yes,inproceedings,,,moved,no,no,no,no,???,
"Neural IR, Zero-shot retrieval, Distribution shift","Pre-trained Language Models have recently emerged in Information Retrieval as providing the backbone of a new generation of neural systems that outperform traditional methods on a variety of tasks. However, it is still unclear to what extent such approaches generalize in zero-shot conditions. The recent BEIR benchmark provides partial answers to this question by comparing models on datasets and tasks that differ from the training conditions. We aim to address the same question by comparing models under more explicit distribution shifts. To this end, we build three query-based distribution shifts within MS MARCO (query-semantic, query-intent, query-length), which are used to evaluate the three main families of neural retrievers based on BERT: sparse, dense, and late-interaction – as well as a monoBERT re-ranker. We further analyse the performance drops between the train and test query distributions. In particular, we experiment with two generalization indicators: the first one based on train/test query vocabulary overlap, and the second based on representations of a trained bi-encoder. Intuitively, those indicators verify that the further away the test set is from the train one, the worse the drop in performance. We also show that models respond differently to the shifts – dense approaches being the most impacted. Overall, our study demonstrates that it is possible to design more controllable distribution shifts as a tool to better understand generalization of IR models. Finally, we release the MS MARCO query subsets, which provide an additional resource to benchmark zero-shot transfer in Information Retrieval.",10.1007/978-3-031-28244-7_40,https://doi.org/10.1007/978-3-031-28244-7_40,2023,MS-Shift: An Analysis of&nbsp;MS MARCO Distribution Shifts on&nbsp;Neural Retrieval,"Lupart, Simon and Formal, Thibault and Clinchant, St\'{e}phane",,inproceedings,,,removed,no,no,no,no,,
"Siamese neural networks, Neural networks, Concept shift, Conditional shift, Multi-domain adaptation, Regression",,10.1016/j.eswa.2023.119907,https://doi.org/10.1016/j.eswa.2023.119907,2023,Multi-domain adaptation for regression under conditional distribution shift,"Taghiyarrenani, Zahra and Nowaczyk, S\l{}awomir and Pashami, Sepideh and Bouguelia, Mohamed-Rafik",,article,Expert Syst. Appl.,,removed,no,no,no,yes,???,
"unsupervised domain adaptation, label noise, label distribution shift, self-training, class rebalancing","Unsupervised Domain Adaptation (UDA) intends to achieve excellent results by transferring knowledge from labeled source domains to unlabeled target domains in which the data or label distribution changes. Previous UDA methods have acquired great success when labels in the source domain are pure. However, even the acquisition of scare clean labels in the source domain needs plenty of costs as well. In the presence of label noise in the source domain, the traditional UDA methods will be seriously degraded as they do not deal with the label noise. In this paper, we propose an approach named Robust Self-training with Label Refinement (RSLR) to address the above issue. RSLR adopts the self-training framework by maintaining a Labeling Network (LNet) on the source domain, which is used to provide confident pseudo-labels to target samples, and a Target-specific Network (TNet) trained by using the pseudo-labeled samples. To combat the effect of label noise, LNet progressively distinguishes and refines the mislabeled source samples. In combination with class rebalancing to combat the label distribution shift issue, RSLR achieves effective performance on extensive benchmark datasets.",10.1007/s11704-024-3810-0,https://doi.org/10.1007/s11704-024-3810-0,2024,Robust domain adaptation with noisy and shifted label distribution,"Li, Shao-Yuan and Zhao, Shi-Ji and Cao, Zheng-Tao and Huang, Sheng-Jun and Chen, Songcan",yes,article,Front. Comput. Sci.,,moved,no,no,no,no,,
"open-vocabulary object detection, foundation model, robustness, distribution shift, zero-shot","The challenge of Out-Of-Distribution (OOD) robustness remains a critical hurdle towards deploying deep vision models. Vision-Language Models (VLMs) have recently achieved groundbreaking results. VLM-based open-vocabulary object detection extends the capabilities of traditional object detection frameworks, enabling the recognition and classification of objects beyond predefined categories. Investigating OOD robustness in recent open-vocabulary object detection is essential to increase the trustworthiness of these models. This study presents a comprehensive robustness evaluation of the zero-shot capabilities of three recent open-vocabulary (OV) foundation object detection models: OWL-ViT, YOLO World, and Grounding DINO. Experiments carried out on the robustness benchmarks COCO-O, COCO-DC, and COCO-C encompassing distribution shifts due to information loss, corruption, adversarial attacks, and geometrical deformation, highlighting the challenges of the model’s robustness to foster the research in this field. Project webpage: .",10.1007/978-3-031-91672-4_5,https://doi.org/10.1007/978-3-031-91672-4_5,2025,Open-Vocabulary Object Detectors: Robustness Challenges Under Distribution Shifts,"Chhipa, Prakash Chandra and De, Kanjar and Chippa, Meenakshi Subhash and Saini, Rajkumar and Liwicki, Marcus",,inproceedings,,,removed,NO,NO,yes,YES,,
"Source-free domain adaptation, Class distribution shift, Robust nearest neighbors","The goal of source-free domain adaptation (SFDA)&nbsp;is retraining a model fit on data from a source domain (e.g. drawings) to classify data from a target domain (e.g. photos) employing&nbsp;only the target samples. In addition to the domain shift, in a realistic scenario, the number of samples per class on source and target would also differ (i.e. class distribution shift, or CDS). Dealing label-less with CDS via target data only is challenging,&nbsp;and thus previous methods assume no class imbalance in the source data. We study the SFDA pipeline and, for the first time, propose a&nbsp;SFDA method that can deal with class imbalance in both source and target data. While pseudolabeling is the core technique in SFDA to estimate&nbsp;the distribution of the target data, it relies on nearest neighbors, which makes it sensitive to class distribution shifts (CDS). We are able to calculate robust nearest neighbors by leveraging additional generic features free of the source model’s CDS bias. This provides a “second-opinion” regarding which nearest neighbors are more suitable for adaptation. We evaluate our method&nbsp;using various types of features, datasets and tasks, outperforming previous methods in SFDA under CDS. Our code is available at&nbsp;.",10.1007/978-3-031-73220-1_1,https://doi.org/10.1007/978-3-031-73220-1_1,2024,Robust Nearest Neighbors for&nbsp;Source-Free Domain Adaptation Under Class Distribution Shift,"Tejero-de-Pablos, Antonio and Togashi, Riku and Otani, Mayu and Satoh, Shin’ichi",yes,inproceedings,,,moved,no,no,no,no,,
"Recursive approach, Shift-varying systems, Stochastic communication protocol, Distributed filtering, Two-dimensional systems, Sensor networks",,10.1016/j.automatica.2020.108865,https://doi.org/10.1016/j.automatica.2020.108865,2020,Recursive distributed filtering for two-dimensional shift-varying systems over sensor networks under stochastic communication protocols,"Wang, Fan and Wang, Zidong and Liang, Jinling and Liu, Xiaohui",,article,Automatica,,removed,no,no,no,no,,
"Federated learning, Knowledge distillation, Periodic distribution shift, Client heterogeneity","Federated Learning (FL) has emerged as a promising approach for collaborative machine learning without the need to share local data, thus preserving privacy and reducing communication overhead. However, the periodic distribution shift caused by the varying availability of clients poses significant challenges to training stability and performance. In this paper, we propose federated half-cycle knowledge distillation (FedHCKD) that incorporates a regularization scheme to address these challenges. By leveraging models trained in a half cycle to regularize current training, our method mitigates the adverse effects of client distribution shifts and enhances the generalization capability of models, especially for clients with fewer training samples. Experimental results on the CIFAR and EMNIST datasets demonstrate that our approach significantly outperforms traditional FL methods, offering improved efficiency and robustness in scenarios with periodic shifts in client data distribution.",10.1007/978-981-96-6579-2_21,https://doi.org/10.1007/978-981-96-6579-2_21,2025,Tackling Periodic Distribution Shifts in&nbsp;Federated Learning with&nbsp;Half-Cycle Knowledge Distillation,"Pang, Xiangyu and Liao, Dongping and Gao, Xitong and Zhao, Juanjuan and Ye, Kejiang",yes,inproceedings,,,moved,no,no,no,no,,
"Transfer learning, Domain adaptation, Distribution shift, Source-free domain adaptation, Model adaptation, Test-time training, Test-time adaptation","Machine learning methods strive to acquire a robust model during the training process that can effectively generalize to test samples, even in the presence of distribution shifts. However, these methods often suffer from performance degradation due to unknown test distributions. Test-time adaptation (TTA), an emerging paradigm, has the potential to adapt a pre-trained model to unlabeled data during testing, before making predictions. Recent progress in this paradigm has highlighted the significant benefits of using unlabeled data to train self-adapted models prior to inference. In this survey, we categorize TTA into several distinct groups based on the form of test data, namely, test-time domain adaptation, test-time batch adaptation, and online test-time adaptation. For each category, we provide a comprehensive taxonomy of advanced algorithms and discuss various learning scenarios. Furthermore, we analyze relevant applications of TTA and discuss open challenges and promising areas for future research. For a comprehensive list of TTA methods, kindly refer to .",10.1007/s11263-024-02181-w,https://doi.org/10.1007/s11263-024-02181-w,2024,A Comprehensive Survey on Test-Time Adaptation Under Distribution Shifts,"Liang, Jian and He, Ran and Tan, Tieniu",yes,article,Int. J. Comput. Vision,,moved,no,no,yes,no,,
"distribution shifts, asymptotics, empirical risk minimization, general linear models, inverse problems","Machine learning systems are often applied to data that is drawn from a different distribution than the training distribution. Recent work has shown that for a variety of classification and signal reconstruction problems, the out-of-distribution performance is strongly linearly correlated with the in-distribution performance. If this relationship or more generally a monotonic one holds, it has important consequences. For example, it allows to optimize performance on one distribution as a proxy for performance on the other. In this paper, we study conditions under which a monotonic relationship between the performances of a model on two distributions is expected. We prove an exact asymptotic linear relation for squared error and a monotonic relation for misclassification error for ridge-regularized general linear models under covariate shift, as well as an approximate linear relation for linear inverse problems.",,,2024,Monotonic risk relationships under distribution shifts for regularized risk minimization,"LeJeune, Daniel and Liu, Jiayu and Heckel, Reinhard",yes,article,J. Mach. Learn. Res.,,moved,no,no,no,yes,,
"Data augmentation, Distribution shift, Spurious correlation, Multimodal",,10.1016/j.neucom.2024.129167,https://doi.org/10.1016/j.neucom.2024.129167,2025,RobustMixGen: Data augmentation for enhancing robustness of visual–language models in the presence of distribution shift,"Kim, Sunwoo and Im, Hun and Lee, Woojun and Lee, Seonggye and Kang, Pilsung",,article,Neurocomput.,,removed,no,no,no,no,,
"Network alignment, Continual learning, Distribution shift","Network alignment, which maps the same entities across multiple networks, has gained tremendous interest in recent years. However, most existing alignment methods propose to align static graphs that are merely a single snapshot of real-world networks. These methods fail to model the inherent dynamics of entire networks where the nodes, links, and attributes are bound to change over time, making dynamic network alignment challenging. Moreover, modeling the interaction between two different dynamic graphs comes with additional challenges: (1) catastrophic forgetting while learning the evolution of individual networks, (2) distributional shift on the same dynamic network, and (3) domain differences between the two networks. Hence, to overcome these challenges, we propose RoCoNA, an end-to-end reservoir sampling-based continual learning approach built over streaming Graph Neural Networks (GNNs) that uses a novel shift-induced regularizer to handle distribution drift and domain differences in evolving networks. We empirically show that our method outperforms the existing state-of-the-art static and dynamic alignment methods. We perform case studies on networks with high distributional shifts to strongly validate our claims. Code is available at",10.1007/978-3-031-82346-6_2,https://doi.org/10.1007/978-3-031-82346-6_2,2025,RoCoNA: A Robust Continual Learning Framework for&nbsp;Alignment of&nbsp;Dynamic Networks Under Distribution Shift and&nbsp;Domain Differences,"Saxena, Shruti and Chandra, Joydeep",,inproceedings,,,removed,no,no,no,no,,
"Interoperability, Distributed control, Distributed Monitoring, Runtime load-shift","The ability to monitor and steer the behaviour of complex distributed systems is an increasingly hot research topic, fostered by the growing adoption of hybrid cloud-edge technologies that constitute a computational continuum. One key feature of these systems is the ability to scale in size, embracing a wide number of heterogeneous devices and applications. This complexity, in turn, impacts the monitoring and control systems that need, at the same time, to be able to deal with high complexity and computational load and be available on all kinds of devices. In this paper, we introduce an architecture that allows for shifting the computational load of monitor systems at runtime across different devices in the cloud-edge continuum. We show the feasibility of the proposed approach by providing a reference implementation integrated with an existing simulation platform, leveraging Kotlin multiplatform to allow interoperability among different runtimes.",10.1007/978-3-031-35260-7_6,https://doi.org/10.1007/978-3-031-35260-7_6,2023,Runtime Load-Shifting of&nbsp;Distributed Controllers Across Networked Devices,"Filaseta, Angelo and Pianini, Danilo",,inproceedings,,,removed,no,no,no,no,,
"deep learning, domain generalization, geometrical domain shifts, semantic organ segmentation, hyperspectral imaging, surgical data science","Robust semantic segmentation of intraoperative image data could pave the way for automatic surgical scene understanding and autonomous robotic surgery. Geometric domain shifts, however – although common in real-world open surgeries due to variations in surgical procedures or situs occlusions – remain a topic largely unaddressed in the field. To address this gap in the literature, we (1) present the first analysis of state-of-the-art (SOA) semantic segmentation networks in the presence of geometric out-of-distribution (OOD) data, and (2) address generalizability with a dedicated augmentation technique termed ’Organ Transplantation’ that we adapted from the general computer vision community. According to a comprehensive validation on six different OOD data sets comprising 600 RGB and yperspectral imaging (HSI) cubes from 33 pigs semantically annotated with 19 classes, we demonstrate a large performance drop of SOA organ segmentation networks applied to geometric OOD data. Surprisingly, this holds true not only for conventional RGB data (drop of Dice similarity coefficient (DSC) by 46 %) but also for HSI data (drop by 45 %), despite the latter’s rich information content per pixel. Using our augmentation scheme improves on the SOA DSC by up to 67% (RGB) and 90% (HSI)) and renders performance on par with in-distribution performance on real OOD test data. The simplicity and effectiveness of our augmentation scheme makes it a valuable network-independent tool for addressing geometric domain shifts in semantic scene segmentation of intraoperative data. Our code and pre-trained models are available at .",10.1007/978-3-031-43996-4_59,https://doi.org/10.1007/978-3-031-43996-4_59,2023,Semantic Segmentation of&nbsp;Surgical Hyperspectral Images Under Geometric Domain Shifts,"Sellner, Jan and Seidlitz, Silvia and Studier-Fischer, Alexander and Motta, Alessandro and \""{O}zdemir, Berkin and M\""{u}ller-Stich, Beat Peter and Nickel, Felix and Maier-Hein, Lena",,inproceedings,,,removed,no,no,no,no,,
"Distribution shift, One-pass learning, Semi-supervised learning","One-pass learning is one of the most popular and widely used online learning method for high-speed and large-scale streaming data. However, large-scale data usually has the problem of label scarcity, and the insufficient labeled data has a great negative impact on the performance of one-pass learning. The existing research on semi-supervised online learning has difficulty extending to one-pass learning due to the iterative nature of semi-supervised methods. In addition, the distribution of complex streaming data may also change over time. Just directly ignoring the change in data distribution will seriously affect the value and significance of learning. Therefore, one-pass learning under distribution shift when labels are scarce is a challenging task. In this paper, we propose a semi-supervised one-pass learning method with forgetting factor to handle the change of data distribution efficiently. In this method, we use an improved mini-batch label propagation algorithm to obtain pseudo-labels for the incoming unlabeled data. The forgetting factor is introduced to calculate the memory matrix for the labeled data and the pseudo-labeled data to deal with the data distribution change. We also introduce a semi-supervised confidence factor to balance the weight of labeled and pseudo-labeled data. Extensive experiments on streaming datasets demonstrate the effectiveness of our approach. Especially under the one-pass constraint, it has achieved far better performance than the existing semi-supervised online learning.",10.1145/3627377.3627446,https://doi.org/10.1145/3627377.3627446,2023,Semi-supervised One-pass Learning under Distribution Shift,"Xie, Hui and Liu, Xuanxuan and Guo, Li",,inproceedings,,,removed,no,no,no,no,,
"Unbalanced distribution network, Peer-to-peer trading, Flexibility, Soft open point, Phase shifting capability",,10.1016/j.compeleceng.2025.110284,https://doi.org/10.1016/j.compeleceng.2025.110284,2025,Short-term optimal operation of phase shifting soft open point with high accuracy loss model in unbalanced distribution networks,"Ayazi, Amir Mohammad and Shakarami, Mahmoud Reza and Doostizadeh, Meysam and Namdari, Farhad and Nikzad, Mohammad Reza",,article,Comput. Electr. Eng.,,removed,no,no,no,no,,
"Predator–prey system, Spreading speeds, Shifting environment, Nonlocal dispersal, 35K57, 35R20, 92D25","This paper is concerned with the spreading speeds of solutions for a three-species predator–prey model with nonlocal dispersal in a shifting environment. Specifically, we consider the survival or extinction of species in the following three situations: (i) both preys spread faster than predator; (ii) the predator spreads faster than both preys; (iii) the predator spreads between two preys. In order to obtain the persistence of species, we first provide some priori estimates of solutions to overcome the difficulties caused by the lack of comparison principle of the predator–prey model and the compactness of nonlocal operators. Then, the asymptotic behavior of the solutions can be obtained by constructing a suitable weighted Lyapunov function.",10.1007/s00033-024-02388-4,https://doi.org/10.1007/s00033-024-02388-4,2024,Spreading speeds of a three-species predator–prey model with nonlocal dispersal in a shifting environment: Spreading speeds of a three-species predator...,"Yang, Meng-Jia and Li, Wan-Tong and Zhao, Xu-Dong",,article,Z. Angew. Math. Phys.,,removed,no,no,no,no,,
"Test Time Training, Distribution Shifts, Masked, Efficient","Neural networks trained end-to-end give state-of-the-art performance for image denoising. However, when applied to an image outside of the training distribution, the performance often degrades significantly. In this work, we propose a test-time training (TTT) method based on masked image modeling (MIM) to improve denoising performance for out-of-distribution images. The method, termed TTT-MIM, consists of a training stage and a test time adaptation stage. At training, we minimize a standard supervised loss and a self-supervised loss aimed at reconstructing masked image patches. At test-time, we minimize a self-supervised loss to fine-tune the network to adapt to a single noisy image. Experiments show that our method can improve performance under natural distribution shifts, in particular it adapts well to real-world camera and microscope noise. A competitor to our method of training and finetuning is to use a zero-shot denoiser that does not rely on training data. However, compared to state-of-the-art zero-shot denoisers, our method shows superior performance, and is much faster, suggesting that training and finetuning on the test instance is a more efficient approach to image denoising than zero-shot methods in setups where little to no data is available. Our GitHub page is: .",10.1007/978-3-031-73254-6_20,https://doi.org/10.1007/978-3-031-73254-6_20,2024,TTT-MIM: Test-Time Training with&nbsp;Masked Image Modeling for&nbsp;Denoising Distribution Shifts,"Mansour, Youssef and Zhong, Xuyang and Caglar, Serdar and Heckel, Reinhard",yes,inproceedings,,,moved,NO,NO,yes,yes,,
"uncertainty quantification, temporal evaluation, distribution shift, deep learning, drug discovery, molecular property prediction","Uncertainty quantification is emerging as a critical tool in high-stakes decision-making processes, where trust in automated predictions that&nbsp;lack accuracy and precision can be time-consuming and costly. In drug discovery, such high-stakes decisions are based on modeling the properties of potential drug compounds on biological assays. So far, existing uncertainty quantification methods have primarily been evaluated using public datasets that lack the temporal context necessary to understand their performance over time. In this work, we address the pressing need for a comprehensive, large-scale temporal evaluation of uncertainty quantification methodologies in the context of assay-based molecular property prediction. Our novel framework benchmarks three ensemble-based approaches to uncertainty quantification and explores the effect of adding lower-quality data during training in the form of censored labels. We investigate the robustness of the predictive performance and the calibration and reliability of predictive uncertainty by the models as time evolves. Moreover, we explore how the predictive uncertainty behaves in response to varying degrees of distribution shift. By doing so, our analysis not only advances the field but also provides practical implications for real-world pharmaceutical applications.",10.1007/978-3-031-72381-0_11,https://doi.org/10.1007/978-3-031-72381-0_11,2024,Temporal Evaluation of&nbsp;Uncertainty Quantification Under Distribution Shift,"Svensson, Emma and Friesacher, Hannah Rosa and Arany, Adam and Mervin, Lewis and Engkvist, Ola",,inproceedings,,,removed,no,no,no,no,???,
