Title,Publication Title,DOI,Authors,Year,Link,Type,read,Repeated,ACM,SCOPUS,IEEE,WOS
Improving Zero-Shot Generalization of&#xa0;Learned Prompts via&#xa0;Unsupervised Knowledge Distillation,Computer Vision – ECCV 2024,10.1007/978-3-031-72907-2_27,Marco MistrettaAlberto BaldratiMarco BertiniAndrew D. Bagdanov,2025,https://link.springer.com/chapter/10.1007/978-3-031-72907-2_27,Conference paper,,removed,no,no,no,no
Neural Causal Regularization: Extending Causal Invariance to&#xa0;Deep Models,Statistics for Innovation I,10.1007/978-3-031-96736-8_17,Francisco RichterKaterina RiganaErnst Wit,2025,https://link.springer.com/chapter/10.1007/978-3-031-96736-8_17,Conference paper,yes,moved,no,no,no,yes
Incremental classifier learning based on PEDCC-loss and cosine distance,Multimedia Tools and Applications,10.1007/s11042-021-11163-w,Qiuyu ZhuZikuang HeXin Ye,2021,https://link.springer.com/article/10.1007/s11042-021-11163-w,Article,,removed,no,no,no,no
Incremental learning with neural networks for computer vision: a survey,Artificial Intelligence Review,10.1007/s10462-022-10294-2,Hao LiuYong ZhouBing LiuJiaqi ZhaoRui YaoZhiwen Shao,2022,https://link.springer.com/article/10.1007/s10462-022-10294-2,Article,,removed,no,no,no,no
Incremental Model Enhancement via Memory-based Contrastive Learning,International Journal of Computer Vision,10.1007/s11263-024-02138-z,Shiyu XuanMing YangShiliang Zhang,2024,https://link.springer.com/article/10.1007/s11263-024-02138-z,Article,,removed,no,no,no,no
Inductive biases for zero-shot systematic generalization in language-informed reinforcement learning,Machine Learning,10.1007/s10994-025-06764-7,Negin Hashemi DijujinSeyed Roozbeh Razavi RohaniMohammad Mahdi SamieiMahdieh Soleymani Baghshah,2025,https://link.springer.com/article/10.1007/s10994-025-06764-7,Article,,removed,no,no,no,no
NICO Challenge: Out-of-Distribution Generalization for&#xa0;Image Recognition Challenges,Computer Vision – ECCV 2022 Workshops,10.1007/978-3-031-25075-0_29,Xingxuan ZhangYue HeTan WangJiaxin QiHan YuZimu WangJie PengRenzhe XuZheyan ShenYulei NiuHanwang ZhangPeng Cui,2023,https://link.springer.com/chapter/10.1007/978-3-031-25075-0_29,Conference paper,yes,moved,no,no,no,no
Not All Tasks Are Equal: A Parameter-Efficient Task Reweighting Method for&#xa0;Few-Shot Learning,Machine Learning and Knowledge Discovery in Databases: Research Track,10.1007/978-3-031-43415-0_25,Xin LiuYilin LyuLiping JingTieyong ZengJian Yu,2023,https://link.springer.com/chapter/10.1007/978-3-031-43415-0_25,Conference paper,yes,moved,no,no,no,no
Novel Class Discovery Without Forgetting,Computer Vision – ECCV 2022,10.1007/978-3-031-20053-3_33,K. J. JosephSujoy PaulGaurav AggarwalSoma BiswasPiyush RaiKai HanVineeth N. Balasubramanian,2022,https://link.springer.com/chapter/10.1007/978-3-031-20053-3_33,Conference paper,yes,moved,no,no,no,no
"Inspect, Understand, Overcome: A Survey of Practical Methods for AI Safety",Deep Neural Networks and Data for Automated Driving,10.1007/978-3-031-01233-4_1,Sebastian HoubenStephanie AbrechtMaram AkilaAndreas BärFelix BrockherdePatrick FeifelTim FingscheidtSujan Sai GannamaneniSeyed Eghbal GhobadiAhmed HammamAnselm HaselhoffFelix HauserChristian HeinzemannMarco HoffmannNikhil KapoorFalk KappelMarvin KlingnerJan KronenbergerFabian KüppersJonas LöhdefinkMichael MlynarskiMichael MockFiras MuallaSvetlana PavlitskayaMaximilian PoretschkinAlexander PohlVarun Ravi-KumarJulia RosenzweigMatthias RottmannStefan RüpingTimo SämannJan David SchneiderElena SchulzGesina SchwalbeJoachim SickingToshika SrivastavaSerin VargheseMichael WeberSebastian WirkertTim WirtzMatthias Woehrle,2022,https://link.springer.com/chapter/10.1007/978-3-031-01233-4_1,Chapter,,removed,no,no,no,no
Integrating Markov Blanket Discovery Into Causal Representation Learning for&#xa0;Domain Generalization,Computer Vision – ECCV 2024,10.1007/978-3-031-72684-2_16,Naiyu YinHanjing WangYue YuTian GaoAmit DhurandharQiang Ji,2025,https://link.springer.com/chapter/10.1007/978-3-031-72684-2_16,Conference paper,,removed,no,,,
Intent Recognition,Intent Recognition for Human-Machine Interactions,10.1007/978-981-99-3885-8_2,Hua XuHanlei ZhangTing-En Lin,2023,https://link.springer.com/chapter/10.1007/978-981-99-3885-8_2,Chapter,,removed,no,no,no,no
Novel Disease Detection Using Ensembles with Regularized Disagreement,"Uncertainty for Safe Utilization of Machine Learning in Medical Imaging, and Perinatal Imaging, Placental and Preterm Image Analysis",10.1007/978-3-030-87735-4_13,Alexandru ȚifreaEric StavaracheFanny Yang,2021,https://link.springer.com/chapter/10.1007/978-3-030-87735-4_13,Conference paper,yes,moved,no,no,no,no
Interpretable bilinear attention network with domain adaptation improves drug–target prediction,Nature Machine Intelligence,10.1038/s42256-022-00605-1,Peizhen BaiFilip MiljkovićBino JohnHaiping Lu,2023,https://link.springer.com/article/10.1038/s42256-022-00605-1,Article,,removed,no,,,
"Interpretable deep learning: interpretation, interpretability, trustworthiness, and beyond",Knowledge and Information Systems,10.1007/s10115-022-01756-8,Xuhong LiHaoyi XiongXingjian LiXuanyu WuXiao ZhangJi LiuJiang BianDejing Dou,2022,https://link.springer.com/article/10.1007/s10115-022-01756-8,Article,,removed,no,no,no,no
Interpreting and generalizing deep learning in physics-based problems with functional linear models,Engineering with Computers,10.1007/s00366-024-01987-z,Amirhossein ArzaniLingxiao YuanPania NewellBei Wang,2024,https://link.springer.com/article/10.1007/s00366-024-01987-z,Article,,removed,no,,,
NOVUM: Neural Object Volumes for&#xa0;Robust Object Classification,Computer Vision – ECCV 2024,10.1007/978-3-031-73235-5_15,Artur JesslenGuofeng ZhangAngtian WangWufei MaAlan YuilleAdam Kortylewski,2025,https://link.springer.com/chapter/10.1007/978-3-031-73235-5_15,Conference paper,yes,moved,no,no,no,yes
Into the unknown: active monitoring of neural networks (extended version),International Journal on Software Tools for Technology Transfer,10.1007/s10009-023-00711-4,Konstantin KueffnerAnna LukinaChristian SchillingThomas A. Henzinger,2023,https://link.springer.com/article/10.1007/s10009-023-00711-4,Article,,removed,no,no,no,no
Introducing a&#xa0;Class-Aware Metric for&#xa0;Monocular Depth Estimation: An Automotive Perspective,Computer Vision – ECCV 2024 Workshops,10.1007/978-3-031-91672-4_17,Tim BaderLeon EisemannAdrian PogorzelskiNamrata JangidAttila-Balazs Kis,2025,https://link.springer.com/chapter/10.1007/978-3-031-91672-4_17,Conference paper,,removed,no,,,
Introduction,Introduction to Transfer Learning,10.1007/978-981-19-7584-4_1,Jindong WangYiqiang Chen,2023,https://link.springer.com/chapter/10.1007/978-981-19-7584-4_1,Chapter,,removed,no,no,no,no
Introduction to domain generalization,,10.1007/978-981-19-7279-9,Jindong Wang,2022,https://link.springer.com/video/10.1007/978-981-19-7279-9,Video,,removed,no,no,no,no
Invariant graph learning meets information bottleneck for out-of-distribution generalization,Frontiers of Computer Science,10.1007/s11704-025-40798-3,Wenyu MaoJiancan WuHaoyang LiuYongduo SuiXiang Wang,2025,https://link.springer.com/article/10.1007/s11704-025-40798-3,Article,,removed,no,no,no,yes
Invariant representation driven neural classifier for anti-QCD jet tagging,Journal of High Energy Physics,10.1007/JHEP10(2022)152,Taoli ChengAaron Courville,2022,https://link.springer.com/article/10.1007/JHEP10(2022)152,Article,,removed,no,,,
"On Multi-Domain Long-Tailed Recognition, Imbalanced Domain Generalization and&#xa0;Beyond",Computer Vision – ECCV 2022,10.1007/978-3-031-20044-1_4,Yuzhe YangHao WangDina Katabi,2022,https://link.springer.com/chapter/10.1007/978-3-031-20044-1_4,Conference paper,yes,moved,no,no,no,no
On the benefits of representation regularization in invariance based domain generalization,Machine Learning,10.1007/s10994-021-06080-w,Changjian ShuiBoyu WangChristian Gagné,2022,https://link.springer.com/article/10.1007/s10994-021-06080-w,Article,yes,moved,no,no,no,no
Investigating interoperable event corpora: limitations of reusability of resources and portability of models,Language Resources and Evaluation,10.1007/s10579-023-09643-6,Tommaso CaselliJohan Bos,2023,https://link.springer.com/article/10.1007/s10579-023-09643-6,Article,,removed,no,,,
On the&#xa0;Detection of&#xa0;Anomalous or&#xa0;Out-of-Distribution Data in&#xa0;Vision Models Using Statistical Techniques,"The 3rd International Conference on Artificial Intelligence and Computer Vision (AICV2023), March 5–7, 2023",10.1007/978-3-031-27762-7_40,Laura O’MahonyDavid JP O’SullivanNikola S. Nikolov,2023,https://link.springer.com/chapter/10.1007/978-3-031-27762-7_40,Conference paper,yes,moved,no,no,no,no
Kantian Idealism and AI,Dialectic of Digital Enlightenment,10.1007/978-3-031-95469-6_2,Vadim Chaly,2025,https://link.springer.com/chapter/10.1007/978-3-031-95469-6_2,Chapter,,removed,no,no,no,no
On the&#xa0;Generalization Capabilities of&#xa0;FSL Methods Through Domain Adaptation: A Case Study in&#xa0;Endoscopic Kidney Stone Image Classification,Advances in Computational Intelligence,10.1007/978-3-031-19493-1_21,Mauricio Mendez-RuizFrancisco Lopez-TiroDaniel Flores-AraizaJonathan El-BezeGilberto Ochoa-RuizMiguel Gonzalez-MendozaJacques HubertAndres Mendez-VazquezChristian Daul,2022,https://link.springer.com/chapter/10.1007/978-3-031-19493-1_21,Conference paper,yes,moved,no,no,no,no
KL Regularized Normalization Framework for&#xa0;Low Resource Tasks,Machine Learning and Knowledge Discovery in Databases: Research Track,10.1007/978-3-031-43421-1_5,Neeraj KumarAnkur NarangBrejesh Lall,2023,https://link.springer.com/chapter/10.1007/978-3-031-43421-1_5,Conference paper,,removed,no,no,no,no
On the&#xa0;Optimal Combination of&#xa0;Cross-Entropy and&#xa0;Soft Dice Losses for&#xa0;Lesion Segmentation with&#xa0;Out-of-Distribution Robustness,Diabetic Foot Ulcers Grand Challenge,10.1007/978-3-031-26354-5_4,Adrian GaldranGustavo CarneiroMiguel A. González Ballester,2023,https://link.springer.com/chapter/10.1007/978-3-031-26354-5_4,Conference paper,yes,moved,no,no,no,no
Knowledge Representation Learning and Knowledge-Guided NLP,Representation Learning for Natural Language Processing,10.1007/978-981-99-1600-9_9,Xu HanWeize ChenZhiyuan LiuYankai LinMaosong Sun,2023,https://link.springer.com/chapter/10.1007/978-981-99-1600-9_9,Chapter,,removed,no,no,no,no
Krakencoder: a unified brain connectome translation and fusion tool,Nature Methods,10.1038/s41592-025-02706-2,Keith W. JamisonZijin GuQinxin WangCeren TozluMert R. SabuncuAmy Kuceyeski,2025,https://link.springer.com/article/10.1038/s41592-025-02706-2,Article,,removed,no,no,no,no
One-class support vector machines for detecting population drift in deployed machine learning medical diagnostics,Scientific Reports,10.1038/s41598-025-94427-x,William S. JonesDaniel J. Farrow,2025,https://link.springer.com/article/10.1038/s41598-025-94427-x,Article,yes,moved,no,no,no,no
Landmark-Based Screening: Femoral Head Coverage and&#xa0;Graf Classification in Infant Developmental Dysplasia of&#xa0;the&#xa0;Hip,Computer Vision – ECCV 2024 Workshops,10.1007/978-3-031-92089-9_1,Allison ClementAbhinav SinghIrina Voiculescu,2025,https://link.springer.com/chapter/10.1007/978-3-031-92089-9_1,Conference paper,,removed,no,no,no,no
LAPT: Label-Driven Automated Prompt Tuning for&#xa0;OOD Detection with&#xa0;Vision-Language Models,Computer Vision – ECCV 2024,10.1007/978-3-031-73220-1_16,Yabin ZhangWenjie ZhuChenhang HeLei Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-73220-1_16,Conference paper,,removed,no,no,no,no
OOD-CV: A Benchmark for&#xa0;Robustness to&#xa0;Out-of-Distribution Shifts of&#xa0;Individual Nuisances in&#xa0;Natural Images,Computer Vision – ECCV 2022,10.1007/978-3-031-20074-8_10,Bingchen ZhaoShaozuo YuWufei MaMingxin YuShenxiao MeiAngtian WangJu HeAlan YuilleAdam Kortylewski,2022,https://link.springer.com/chapter/10.1007/978-3-031-20074-8_10,Conference paper,yes,moved,no,no,no,yes
Large language model driven transferable key information extraction mechanism for nonstandardized tables,Scientific Reports,10.1038/s41598-025-15627-z,Rong HuYe YangSen LiuZuchen LiJingyi LiuXingchen DingHanchi SunLingli Ren,2025,https://link.springer.com/article/10.1038/s41598-025-15627-z,Article,,removed,no,no,no,no
Large physics models: towards a collaborative approach with large language models and foundation models,The European Physical Journal C,10.1140/epjc/s10052-025-14707-8,Kristian G. BarmanSascha CaronEmily SullivanHenk W. de RegtRoberto Ruiz de AustriMieke BoonMichael FärberStefan FröseTobias GollingLuis G. LopezFaegheh HasibiLukas HeinrichAndreas IppRukshak KapoorGregor KasieczkaDaniel KostićMichael KrämerJesus MarcoSydney OttenPawel PawlowskiPietro VischiaErik WeberChristoph Weniger,2025,https://link.springer.com/article/10.1140/epjc/s10052-025-14707-8,Article,,removed,no,no,no,no
Large sequence models for sequential decision-making: a survey,Frontiers of Computer Science,10.1007/s11704-023-2689-5,Muning WenRunji LinHanjing WangYaodong YangYing WenLuo MaiJun WangHaifeng ZhangWeinan Zhang,2023,https://link.springer.com/article/10.1007/s11704-023-2689-5,Article,,removed,no,no,no,no
Large Vision-Language Model Security: A Survey,Frontiers in Cyber Security,10.1007/978-981-96-0151-6_1,Taowen WangZheng FangHaochen XueChong ZhangMingyu JinWujiang XuDong ShuShanchieh YangZhenting WangDongfang Liu,2024,https://link.springer.com/chapter/10.1007/978-981-96-0151-6_1,Conference paper,,removed,no,no,no,no
Open Set Recognition in Real World,International Journal of Computer Vision,10.1007/s11263-024-02015-9,Zhen YangJun YuePedram GhamisiShiliang ZhangJiayi MaLeyuan Fang,2024,https://link.springer.com/article/10.1007/s11263-024-02015-9,Article,yes,yes,no,no,no,yes
Latent Diffusion for&#xa0;Guided Document Table Generation,Document Analysis and Recognition - ICDAR 2024,10.1007/978-3-031-70549-6_22,Syed Jawwad Haider HamdaniSaifullah SaifullahStefan AgneAndreas DengelSheraz Ahmed,2024,https://link.springer.com/chapter/10.1007/978-3-031-70549-6_22,Conference paper,,removed,no,,,
Open-Set Adversarial Defense with Clean-Adversarial Mutual Learning,International Journal of Computer Vision,10.1007/s11263-022-01581-0,Rui ShaoPramuditha PereraPong C. YuenVishal M. Patel,2022,https://link.springer.com/article/10.1007/s11263-022-01581-0,Article,yes,moved,no,no,no,no
Open-set learning under covariate shift,Machine Learning,10.1007/s10994-022-06237-1,Jie-Jing ShaoXiao-Wen YangLan-Zhe Guo,2022,https://link.springer.com/article/10.1007/s10994-022-06237-1,Article,yes,yes,no,yes,no,no
Latent Guard: A&#xa0;Safety Framework for&#xa0;Text-to-Image Generation,Computer Vision – ECCV 2024,10.1007/978-3-031-73347-5_6,Runtao LiuAshkan KhakzarJindong GuQifeng ChenPhilip TorrFabio Pizzati,2025,https://link.springer.com/chapter/10.1007/978-3-031-73347-5_6,Conference paper,,removed,no,no,no,no
Latent Space Correlation-Aware Autoencoder for Anomaly Detection in Skewed Data,Advances in Knowledge Discovery and Data Mining,10.1007/978-981-97-2242-6_6,Padmaksha RoyHimanshu SinghalTimothy J O’SheaMing Jin,2024,https://link.springer.com/chapter/10.1007/978-981-97-2242-6_6,Conference paper,,removed,no,,,
Open-Set Semi-Supervised Object Detection,Computer Vision – ECCV 2022,10.1007/978-3-031-20056-4_9,Yen-Cheng LiuChih-Yao MaXiaoliang DaiJunjiao TianPeter VajdaZijian HeZsolt Kira,2022,https://link.springer.com/chapter/10.1007/978-3-031-20056-4_9,Conference paper,yes,moved,no,no,no,no
Lateral Ego-Vehicle Control Without Supervision Using Point Clouds,Pattern Recognition and Artificial Intelligence,10.1007/978-3-031-09037-0_39,Florian MüllerQadeer KhanDaniel Cremers,2022,https://link.springer.com/chapter/10.1007/978-3-031-09037-0_39,Conference paper,,removed,no,,,
Open-Set Single-Domain Generalization for Robust Face Anti-Spoofing,International Journal of Computer Vision,10.1007/s11263-024-02129-0,Fangling JiangQi LiWeining WangMin RenWei ShenBing LiuZhenan Sun,2024,https://link.springer.com/article/10.1007/s11263-024-02129-0,Article,yes,yes,no,no,no,yes
Optimizing MRI sequence classification performance: insights from domain shift analysis,European Radiology,10.1007/s00330-025-11671-5,Mustafa Ahmed MahmutogluAditya RastogiGianluca BrugnaraPhilipp VollmuthMartha Foltyn-DumitruFelix SahmStefan PfisterDominik SturmMartin BendszusMarianne Schell,2025,https://link.springer.com/article/10.1007/s00330-025-11671-5,Article,yes,moved,no,no,no,no
Chameleon: A Data-Efficient Generalist for&#xa0;Dense Visual Prediction in&#xa0;the&#xa0;Wild,Computer Vision – ECCV 2024,10.1007/978-3-031-73337-6_24,Donggyun KimSeongwoong ChoSemin KimChong LuoSeunghoon Hong,2025,https://link.springer.com/chapter/10.1007/978-3-031-73337-6_24,Conference paper,,removed,no,no,no,no
Learning from Experience,Unlocking Artificial Intelligence,10.1007/978-3-031-64832-8_3,Christopher MutschlerGeorgios KontesSebastian Rietsch,2024,https://link.springer.com/chapter/10.1007/978-3-031-64832-8_3,Chapter,,removed,no,no,no,no
OSSA: Unsupervised One-Shot Style Adaptation,Computer Vision – ECCV 2024 Workshops,10.1007/978-3-031-91672-4_9,Robin GersterHolger CaesarMatthias RappAlexander WolpertMichael Teutsch,2025,https://link.springer.com/chapter/10.1007/978-3-031-91672-4_9,Conference paper,yes,moved,no,no,no,no
Out-of-Distribution Detection for&#xa0;Long-Tailed and&#xa0;Fine-Grained Skin Lesion Images,Medical Image Computing and Computer Assisted Intervention – MICCAI 2022,10.1007/978-3-031-16431-6_69,Deval MehtaYaniv GalAdrian BowlingPaul BonningtonZongyuan Ge,2022,https://link.springer.com/chapter/10.1007/978-3-031-16431-6_69,Conference paper,yes,moved,no,no,no,no
Out-of-distribution detection using normalizing flows on the data manifold,Applied Intelligence,10.1007/s10489-025-06499-x,Seyedeh Fatemeh RazaviMohammadmahdi MehmanchiReshad HosseiniMostafa Tavassolipour,2025,https://link.springer.com/article/10.1007/s10489-025-06499-x,Article,yes,moved,no,no,no,no
Out-of-Distribution Detection Using Outlier Detection Methods,Image Analysis and Processing – ICIAP 2022,10.1007/978-3-031-06433-3_2,Jan DiersChristian Pigorsch,2022,https://link.springer.com/chapter/10.1007/978-3-031-06433-3_2,Conference paper,yes,moved,no,no,no,no
Out-of-Distribution Detection with Virtual Outlier Smoothing,International Journal of Computer Vision,10.1007/s11263-024-02210-8,Jun NieYadan LuoShanshan YeYonggang ZhangXinmei TianZhen Fang,2024,https://link.springer.com/article/10.1007/s11263-024-02210-8,Article,yes,moved,no,no,no,no
Learning naturalistic driving environment with statistical realism,Nature Communications,10.1038/s41467-023-37677-5,Xintao YanZhengxia ZouShuo FengHaojie ZhuHaowei SunHenry X. Liu,2023,https://link.springer.com/article/10.1038/s41467-023-37677-5,Article,,removed,no,no,no,no
Out-of-distribution Detection with&#xa0;Boundary Aware Learning,Computer Vision – ECCV 2022,10.1007/978-3-031-20053-3_14,Sen PeiXin ZhangBin FanGaofeng Meng,2022,https://link.springer.com/chapter/10.1007/978-3-031-20053-3_14,Conference paper,yes,moved,no,no,no,no
Out-of-Distribution Detection with&#xa0;Semantic Mismatch Under Masking,Computer Vision – ECCV 2022,10.1007/978-3-031-20053-3_22,Yijun YangRuiyuan GaoQiang Xu,2022,https://link.springer.com/chapter/10.1007/978-3-031-20053-3_22,Conference paper,yes,moved,no,no,no,no
Learning quantum properties from short-range correlations using multi-task networks,Nature Communications,10.1038/s41467-024-53101-y,Ya-Dong WuYan ZhuYuexuan WangGiulio Chiribella,2024,https://link.springer.com/article/10.1038/s41467-024-53101-y,Article,,removed,no,no,no,no
Learning Shortcuts: On the Misleading Promise of NLU in Language Models,Artificial Intelligence for Design and Process Science,10.1007/978-3-031-67886-8_9,Geetanjali BihaniJulia Rayz,2025,https://link.springer.com/chapter/10.1007/978-3-031-67886-8_9,Chapter,,removed,no,no,no,no
Learning the travelling salesperson problem requires rethinking generalization,Constraints,10.1007/s10601-022-09327-y,Chaitanya K. JoshiQuentin CappartLouis-Martin RousseauThomas Laurent,2022,https://link.springer.com/article/10.1007/s10601-022-09327-y,Article,,removed,no,,,
Out-of-distribution generalization for segmentation of lymph node metastasis in breast cancer,Scientific Reports,10.1038/s41598-024-80495-y,Yiannis VarnavaKiran JakateRichard GarnettDimitrios AndroutsosPascal N. TyrrellApril Khademi,2025,https://link.springer.com/article/10.1038/s41598-024-80495-y,Article,yes,moved,no,no,no,yes
OVAE: Out-of-Distribution Detection with Multi-label-enhanced Variational Autoencoders,Big Data,10.1007/978-981-16-9709-8_16,Zhenyu YanQinliang Su,2022,https://link.springer.com/chapter/10.1007/978-981-16-9709-8_16,Conference paper,yes,moved,no,no,no,no
Learning to Predict Error for MRI Reconstruction,Medical Image Computing and Computer Assisted Intervention – MICCAI 2021,10.1007/978-3-030-87199-4_57,Shi HuNicola PezzottiMax Welling,2021,https://link.springer.com/chapter/10.1007/978-3-030-87199-4_57,Conference paper,,removed,no,,,
Learning to solving vehicle routing problems via local–global feature fusion transformer,Complex & Intelligent Systems,10.1007/s40747-025-02018-0,Wei LiBing Tian DaiXueming YanJunying ZouZhijie LiangJingwen Li,2025,https://link.springer.com/article/10.1007/s40747-025-02018-0,Article,,removed,no,,,
Learning to&#xa0;Drive via&#xa0;Asymmetric Self-Play,Computer Vision – ECCV 2024,10.1007/978-3-031-73033-7_9,Chris ZhangSourav BiswasKelvin WongKion FallahLunjun ZhangDian ChenSergio CasasRaquel Urtasun,2025,https://link.springer.com/chapter/10.1007/978-3-031-73033-7_9,Conference paper,,removed,no,,,
Overcoming Shortcut Learning in&#xa0;a&#xa0;Target Domain by&#xa0;Generalizing Basic Visual Factors from&#xa0;a&#xa0;Source Domain,Computer Vision – ECCV 2022,10.1007/978-3-031-19806-9_17,Piyapat SaranrittichaiChaithanya Kumar MummadiClaudia BlaiottaMauricio MunozVolker Fischer,2022,https://link.springer.com/chapter/10.1007/978-3-031-19806-9_17,Conference paper,yes,moved,no,no,no,no
Learning uncertainties online for quadrotor flight control: A comparative study,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02305-5,Weibin GuJiance ZhaoAlessandro Rizzo,2025,https://link.springer.com/article/10.1007/s10846-025-02305-5,Article,,removed,no,,,
Physical imaging parameter variation drives domain shift,Scientific Reports,10.1038/s41598-022-23990-4,Oz KilimAlex OlarTamás JoóTamás PaliczPéter PollnerIstván Csabai,2022,https://link.springer.com/article/10.1038/s41598-022-23990-4,Article,yes,moved,no,no,no,yes
Learning with Enriched Inductive Biases for Vision-Language Models,International Journal of Computer Vision,10.1007/s11263-025-02354-1,Lingxiao YangRu-Yuan ZhangQi ChenXiaohua Xie,2025,https://link.springer.com/article/10.1007/s11263-025-02354-1,Article,,removed,no,no,no,no
PixOOD: Pixel-Level Out-of-Distribution Detection,Computer Vision – ECCV 2024,10.1007/978-3-031-73027-6_6,Tomáš VojířJan ŠochmanJiří Matas,2025,https://link.springer.com/chapter/10.1007/978-3-031-73027-6_6,Conference paper,yes,moved,no,no,no,no
Leveraging Artificial Intelligence in GPCR Activation Studies: Computational Prediction Methods as Key Drivers of Knowledge,Protein Supersecondary Structures,10.1007/978-1-0716-4213-9_10,Ana B. CaniceiroUrszula OrzełNícia Rosário-FerreiraSławomir FilipekIrina S. Moreira,2025,https://link.springer.com/chapter/10.1007/978-1-0716-4213-9_10,Protocol,,removed,no,no,no,no
Leveraging clinical data across healthcare institutions for continual learning of predictive risk models,Scientific Reports,10.1038/s41598-022-12497-7,Fatemeh AmrollahiSupreeth P. ShashikumarAndre L. HolderShamim Nemati,2022,https://link.springer.com/article/10.1038/s41598-022-12497-7,Article,,removed,no,no,no,no
Leveraging Group-Level Signals for&#xa0;Robust Many-Domain Generalization,Advances in Knowledge Discovery and Data Mining,10.1007/978-981-96-8180-8_16,Bohan ZhangYachuan LiuQiaozhu MeiParamveer S. Dhillon,2025,https://link.springer.com/chapter/10.1007/978-981-96-8180-8_16,Conference paper,,removed,no,no,no,no
Leveraging Homophily-Augmented Energy Propagation for&#xa0;Bot Detection on&#xa0;Graphs,Database Systems for Advanced Applications,10.1007/978-981-97-5572-1_5,Bradley AshmoreLingwei Chen,2024,https://link.springer.com/chapter/10.1007/978-981-97-5572-1_5,Conference paper,,removed,no,,,
Lie Algebra–Based Semantic Flow for&#xa0;Incompleteness Detection in&#xa0;Summarization,Knowledge Management and Acquisition for Intelligent Systems,10.1007/978-981-95-4575-9_5,Manikandan RavikiranVeeraraju ElluruKarrtik IyerPrasanna PendseShayan Mohanty,2025,https://link.springer.com/chapter/10.1007/978-981-95-4575-9_5,Conference paper,,removed,no,,,
Positive–negative prototypes fusion framework for open set recognition,Scientific Reports,10.1038/s41598-025-09625-4,Xincheng ZhongJunbiao Cui,2025,https://link.springer.com/article/10.1038/s41598-025-09625-4,Article,yes,moved,no,no,no,no
Lightweight feature selection for multi-label classification using multi-objective preference selection index,International Journal of Machine Learning and Cybernetics,10.1007/s13042-025-02781-z,Gurudatta VermaTirath Prasad Sahu,2025,https://link.springer.com/article/10.1007/s13042-025-02781-z,Article,,removed,no,no,no,no
Predicting Is Not Understanding: Recognizing and&#xa0;Addressing Underspecification in&#xa0;Machine Learning,Computer Vision – ECCV 2022,10.1007/978-3-031-20050-2_27,Damien TeneyMaxime PeyrardEhsan Abbasnejad,2022,https://link.springer.com/chapter/10.1007/978-3-031-20050-2_27,Conference paper,yes,moved,no,no,no,no
Lightweight super-resolution dynamic contrast-aware differential fusion network for multi-contrast MRI,"Signal, Image and Video Processing",10.1007/s11760-025-04825-x,Wenjing ChenLongfeng ShenJiacong ChenJianyu XiaoFangzhen GeLi Shi,2025,https://link.springer.com/article/10.1007/s11760-025-04825-x,Article,,removed,no,no,no,no
Lipschitzness is all you need to tame off-policy generative adversarial imitation learning,Machine Learning,10.1007/s10994-022-06144-5,Lionel BlondéPablo StrasserAlexandros Kalousis,2022,https://link.springer.com/article/10.1007/s10994-022-06144-5,Article,,removed,no,no,no,no
Local Concept Embeddings for Analysis of Concept Distributions in Vision DNN Feature Spaces,International Journal of Computer Vision,10.1007/s11263-025-02446-y,Georgii MikriukovGesina SchwalbeKorinna Bade,2025,https://link.springer.com/article/10.1007/s11263-025-02446-y,Article,,removed,no,no,no,no
Local Intrinsic Dimensionality of&#xa0;IoT Networks for&#xa0;Unsupervised Intrusion Detection,Data and Applications Security and Privacy XXXVI,10.1007/978-3-031-10684-2_9,Matt GorbettHossein ShiraziIndrakshi Ray,2022,https://link.springer.com/chapter/10.1007/978-3-031-10684-2_9,Conference paper,,removed,no,,,
Localizing Spectrum Offenders Using Crowdsourcing,Network Security Empowered by Artificial Intelligence,10.1007/978-3-031-53510-9_9,Frost MitchellJ. Phillip SmithShamik SarkarNeal PatwariAditya BhaskaraSneha Kumar Kasera,2024,https://link.springer.com/chapter/10.1007/978-3-031-53510-9_9,Chapter,,removed,no,no,no,no
Long-Horizon Route-Constrained Policy for&#xa0;Learning Continuous Control Without Exploration,Artificial Neural Networks and Machine Learning – ICANN 2022,10.1007/978-3-031-15931-2_4,Ruidong CaoMin DongXuanlu JiangSheng BiNing Xi,2022,https://link.springer.com/chapter/10.1007/978-3-031-15931-2_4,Conference paper,,removed,no,,,
Prompting Segment Anything Model with&#xa0;Domain-Adaptive Prototype for&#xa0;Generalizable Medical Image Segmentation,Medical Image Computing and Computer Assisted Intervention – MICCAI 2024,10.1007/978-3-031-72111-3_50,Zhikai WeiWenhui DongPeilin ZhouYuliang GuZhou ZhaoYongchao Xu,2024,https://link.springer.com/chapter/10.1007/978-3-031-72111-3_50,Conference paper,yes,moved,no,no,no,no
Low responsiveness of machine learning models to critical or deteriorating health conditions,Communications Medicine,10.1038/s43856-025-00775-0,Tanmoy Sarkar PiasSharmin AfroseMoon Das TuliIpsita Hamid TrishaXinwei DengCharles B. NemeroffDanfeng Daphne Yao,2025,https://link.springer.com/article/10.1038/s43856-025-00775-0,Article,,removed,no,,,
